=== Results per Cache Size (ranked by total cycles) ===

  -- Cache sets=1 --
    Total Cycles    Hit Rate   Configuration
  -- Cache sets=256 --
    Total Cycles    Hit Rate   Configuration
    8562483         .976906    sets=256 blocks=8 wa=write-allocate write-back wt= evict=lru
    8830083         .976074    sets=256 blocks=8 wa=write-allocate write-back wt= evict=fifo
    9344483         .975498    sets=256 blocks=4 wa=write-allocate write-back wt= evict=lru
    9845283         .973888    sets=256 blocks=4 wa=write-allocate write-back wt= evict=fifo
    20312483        .938687    sets=256 blocks=1 wa=write-allocate write-back wt= evict=fifo
    20312483        .938687    sets=256 blocks=1 wa=write-allocate write-back wt= evict=lru
    22735952        .925165    sets=256 blocks=8 wa=no-write-allocate write-through wt= evict=lru
    22850821        .923964    sets=256 blocks=8 wa=no-write-allocate write-through wt= evict=fifo
    22865216        .923885    sets=256 blocks=4 wa=no-write-allocate write-through wt= evict=lru
    23102502        .920569    sets=256 blocks=4 wa=no-write-allocate write-through wt= evict=fifo
    25027883        .976906    sets=256 blocks=8 wa=write-allocate write-through wt= evict=lru
    25199483        .976074    sets=256 blocks=8 wa=write-allocate write-through wt= evict=fifo
    25318283        .975498    sets=256 blocks=4 wa=write-allocate write-through wt= evict=lru
    25650283        .973888    sets=256 blocks=4 wa=write-allocate write-through wt= evict=fifo
    29004091        .882606    sets=256 blocks=1 wa=no-write-allocate write-through wt= evict=fifo
    29004091        .882606    sets=256 blocks=1 wa=no-write-allocate write-through wt= evict=lru
    32911483        .938687    sets=256 blocks=1 wa=write-allocate write-through wt= evict=fifo
    32911483        .938687    sets=256 blocks=1 wa=write-allocate write-through wt= evict=lru

  -- Cache sets=512 --
    Total Cycles    Hit Rate   Configuration
    7609683         .977538    sets=512 blocks=8 wa=write-allocate write-back wt= evict=lru
    7766483         .977075    sets=512 blocks=8 wa=write-allocate write-back wt= evict=fifo
    8607683         .976722    sets=512 blocks=4 wa=write-allocate write-back wt= evict=lru
    8875283         .975874    sets=512 blocks=4 wa=write-allocate write-back wt= evict=fifo
    14469283        .958387    sets=512 blocks=1 wa=write-allocate write-back wt= evict=fifo
    14469283        .958387    sets=512 blocks=1 wa=write-allocate write-back wt= evict=lru
    22657603        .925644    sets=512 blocks=8 wa=no-write-allocate write-through wt= evict=lru
    22716294        .925147    sets=512 blocks=8 wa=no-write-allocate write-through wt= evict=fifo
    22754658        .924891    sets=512 blocks=4 wa=no-write-allocate write-through wt= evict=lru
    22878289        .923575    sets=512 blocks=4 wa=no-write-allocate write-through wt= evict=fifo
    24897483        .977538    sets=512 blocks=8 wa=write-allocate write-through wt= evict=lru
    24993083        .977075    sets=512 blocks=8 wa=write-allocate write-through wt= evict=fifo
    25065883        .976722    sets=512 blocks=4 wa=write-allocate write-through wt= evict=lru
    25240683        .975874    sets=512 blocks=4 wa=write-allocate write-through wt= evict=fifo
    25437594        .903595    sets=512 blocks=1 wa=no-write-allocate write-through wt= evict=fifo
    25437594        .903595    sets=512 blocks=1 wa=no-write-allocate write-through wt= evict=lru
    28847883        .958387    sets=512 blocks=1 wa=write-allocate write-through wt= evict=fifo
    28847883        .958387    sets=512 blocks=1 wa=write-allocate write-through wt= evict=lru
